age,heart_rate,glucose,prior_admission,gender_encoded
0.030611744331200747,0.0260475570105358,-0.018369562256363967,-0.02721498424860631,0.005700245163233793
-0.015589683067932356,-0.01988910617896514,-0.019918437506937947,0.023857750945544612,-0.0016855241917090858
0.10869901576928172,-0.034483749291234815,0.03129737943272906,-0.05807789243483894,-0.0006597534759368367
0.07720538214383064,0.1199834589388279,-0.06758942997581027,0.01593317185151357,0.01124241704163829
-0.019049619756759093,-0.01811978559042208,-0.02163559230091702,0.024525175818365205,0.0010548218297329608
-0.013738545302060621,-0.01381073358151999,-0.0012245035902378578,-0.004766763987418948,0.00031554646123742715
-0.027031399080363304,-0.010755279153122655,0.0407707039587343,-0.01691342008097384,0.0007043943557255918
-0.010524367016594083,-0.008374634579923433,-0.007136346805703367,-0.007340537459880581,0.0001508858621014536
-0.022047805017793052,-0.017250484652491724,-0.018005916429087193,0.022984453188671244,0.0010947529107007007
-0.012843683046216912,-0.009445101791286338,-0.006579906873971006,-0.004393185296750908,3.687700822516179e-05
-0.012287152554388382,-0.009683898208044344,-0.006952723979299644,-0.004338487284435369,3.7262026167745505e-05
-0.01491414175403752,0.05346704466105971,-0.02169636721731008,-0.010200740146529887,0.00011920445681797427
-0.034877490549844285,0.07493044857700694,0.008296200622530201,-0.0389028228235902,-0.0014213358261024743
-0.02065157837938438,-0.017047076772508548,-0.015207607463145928,0.0209792136487463,-0.0012979510337074254
-0.00794095939684698,-0.010199917648675484,0.00170813361291259,-0.008599243952669217,0.0018069873852791022
-0.01268812455854109,-0.010065767638425092,-0.006658409149006101,-0.0039045909341724307,9.18922801447243e-05
0.030643523599017685,0.1940891726468701,0.05446347335720934,0.01532253410416385,-0.0032198941834511415
0.0402350589152318,-0.040288906032282634,-0.03270813719037662,-0.0007428686024135713,0.0002798529098412433
-0.01572149723388011,0.004665999574651533,-0.00924020570861226,-0.010032581639965609,-0.002896714992193578
-0.01268812455854109,-0.010065767638425092,-0.006658409149006101,-0.0039045909341724307,9.18922801447243e-05
-0.012191620789742653,-0.009764303500024525,-0.006962674662830424,-0.004339871827180206,3.3470779777814906e-05
-0.016169588713758353,0.004136849441503079,-0.013240194573068489,-0.009533285050954392,0.001581218896278144
-0.01175239473531181,-0.009084613662534113,-0.005488418661328612,-0.006873097367698449,-2.6475573127014166e-05
-0.012403143704319124,-0.010796491197178458,-0.005868992571151155,-0.0041859640989735485,2.959157162229094e-05
-0.014809487481306675,-0.01573176182777921,-0.0033118687655510353,0.00037866976065203945,0.0002494483139849013
-0.011946423672843301,-0.009982155564873654,-0.0067379854450633735,-0.004625761278514481,6.732596129480256e-05
-0.012550781335469382,-0.012239757072471732,0.0014663061967809235,-0.009653508617299298,-0.0002472591715404854
